0.0005	-1205.64	-1436.1	
0.001	-1.6281	-3.55864	
0.0015	-1.71634	-4.14397	
0.002	-1.67973	-3.93293	
0.0025	-1.5552	-3.49682	
0.003	-1.2418	-2.99082	
0.0035	-1.13591	-2.53904	
0.004	-1.30464	-2.20074	
0.0045	-1.34347	-1.97103	
0.005	-1.34106	-1.86624	
0.0055	-1.31607	-1.82556	
0.006	-1.24935	-1.81669	
0.0065	-1.25874	-1.84072	
0.007	-1.24353	-1.86425	
0.0075	-1.22535	-1.8791	
0.008	-1.20842	-1.85945	
0.0085	-1.17737	-1.8244	
0.009	-1.01406	-1.73527	
0.0095	-0.84189	-1.62674	
0.01	-0.949129	-1.55531	
0.0105	-1.03915	-1.45726	
0.011	-1.0695	-1.41445	
0.0115	-1.08178	-1.39225	
0.012	-1.05084	-1.39162	
0.0125	-0.992756	-1.41738	
0.013	-1.0448	-1.44477	
0.0135	-1.0313	-1.47668	
0.014	-1.02807	-1.48965	
0.0145	-1.0217	-1.49659	
0.015	-0.993636	-1.49473	
0.0155	-0.831067	-1.4259	
0.016	-0.783905	-1.38058	
0.0165	-0.920931	-1.33312	
0.017	-0.98691	-1.28624	
0.0175	-1.01204	-1.27653	
0.018	-1.01136	-1.26886	
0.0185	-0.948928	-1.27594	
0.019	-0.962679	-1.30162	
0.0195	-0.992807	-1.3215	
0.02	-0.974784	-1.34139	
0.0205	-0.972967	-1.35252	
0.021	-0.986438	-1.37128	
0.0215	-0.891935	-1.35068	
0.022	-0.765484	-1.30273	
0.0225	-0.856012	-1.28226	
0.023	-0.954738	-1.23959	
0.0235	-0.998569	-1.22864	
0.024	-1.01376	-1.22277	
0.0245	-0.992035	-1.22211	
0.025	-0.929504	-1.23433	
0.0255	-0.995747	-1.25718	
0.026	-0.983384	-1.27124	
0.0265	-0.973655	-1.28635	
0.027	-0.974506	-1.30163	
0.0275	-0.969005	-1.31622	
0.028	-0.850792	-1.28142	
0.0285	-0.809431	-1.2552	
0.029	-0.930242	-1.23227	
0.0295	-1.00482	-1.20743	
0.03	-1.03097	-1.20747	
0.0305	-1.03201	-1.20393	
0.031	-0.98078	-1.20815	
0.0315	-0.978255	-1.22232	
0.032	-1.01556	-1.23574	
0.0325	-0.994769	-1.25473	
0.033	-0.991548	-1.26656	
0.0335	-1.01323	-1.29027	
0.034	-0.938146	-1.27985	
