1.405	-0.5
1.405	-0.51

1.415	-0.5
1.415	-0.51

1.395	-0.49
1.395	-0.5

1.425	-0.49
1.425	-0.5

1.385	-0.48
1.375	-0.48

1.435	-0.48
1.445	-0.48

1.385	-0.47
1.375	-0.47

1.435	-0.47
1.445	-0.47

1.385	-0.46
1.385	-0.47

1.435	-0.46
1.445	-0.46

1.375	-0.45
1.365	-0.45

1.435	-0.45
1.435	-0.46

1.375	-0.44
1.365	-0.44

1.445	-0.44
1.455	-0.44

1.375	-0.43
1.365	-0.43

1.445	-0.43
1.455	-0.43

1.375	-0.42
1.375	-0.43

1.445	-0.42
1.455	-0.42

1.365	-0.41
1.355	-0.41

1.445	-0.41
1.455	-0.41

1.365	-0.4
1.355	-0.4

1.445	-0.4
1.455	-0.4

1.365	-0.39
1.355	-0.39

1.445	-0.39
1.445	-0.4

1.365	-0.38
1.355	-0.38

1.455	-0.38
1.465	-0.38

1.365	-0.37
1.365	-0.38

1.455	-0.37
1.465	-0.37

1.355	-0.36
1.345	-0.36

1.455	-0.36
1.465	-0.36

1.355	-0.35
1.345	-0.35

1.455	-0.35
1.465	-0.35

1.355	-0.34
1.345	-0.34

1.455	-0.34
1.465	-0.34

1.355	-0.33
1.345	-0.33

1.455	-0.33
1.465	-0.33

1.355	-0.32
1.345	-0.32

1.455	-0.32
1.465	-0.32

1.355	-0.31
1.345	-0.31

1.455	-0.31
1.465	-0.31

1.355	-0.3
1.345	-0.3

1.455	-0.3
1.465	-0.3

1.355	-0.29
1.345	-0.29

1.455	-0.29
1.465	-0.29

1.355	-0.28
1.355	-0.29

1.455	-0.28
1.455	-0.29

1.345	-0.27
1.335	-0.27

1.465	-0.27
1.475	-0.27

1.345	-0.26
1.335	-0.26

1.465	-0.26
1.475	-0.26

1.345	-0.25
1.335	-0.25

1.465	-0.25
1.475	-0.25

1.345	-0.24
1.335	-0.24

1.465	-0.24
1.475	-0.24

1.345	-0.23
1.335	-0.23

1.465	-0.23
1.475	-0.23

1.345	-0.22
1.335	-0.22

1.465	-0.22
1.475	-0.22

1.345	-0.21
1.335	-0.21

1.465	-0.21
1.475	-0.21

1.345	-0.2
1.335	-0.2

1.465	-0.2
1.475	-0.2

1.345	-0.19
1.335	-0.19

1.465	-0.19
1.475	-0.19

1.345	-0.18
1.335	-0.18

1.465	-0.18
1.475	-0.18

1.345	-0.17
1.335	-0.17

1.465	-0.17
1.475	-0.17

