1.77	0.662859	-0.0149921
1.78	0.662545	-0.0148913
1.79	0.662289	-0.0149692
1.8	0.662222	-0.015027
1.81	0.662172	-0.015034
1.82	0.661572	-0.0151268
1.83	0.661806	-0.0151338
1.84	0.661379	-0.0151624
1.85	0.661123	-0.0152601
1.86	0.660989	-0.0152979
1.87	0.66068	-0.0152167
1.88	0.660463	-0.0154418
1.89	0.660373	-0.0153179
1.9	0.659715	-0.01544
1.91	0.659827	-0.0155175
1.92	0.659318	-0.0154177
1.93	0.659162	-0.0154991
1.94	0.658864	-0.0156248
1.95	0.658601	-0.0155124
1.96	0.658243	-0.0157464
1.97	0.658054	-0.0155926
1.98	0.657434	-0.0157213
1.99	0.657324	-0.0158107
2	0.656936	-0.0156783
2.01	0.656738	-0.0157246
2.02	0.656554	-0.0161187
2.03	0.65579	-0.0157779
2.04	0.655537	-0.0157534
2.05	0.654686	-0.0155172
2.06	0.655999	-0.0168687
2.07	0.654986	-0.0162005
2.08	0.653564	-0.015509
2.09	0.653349	-0.015592
2.1	0.653812	-0.0160436
2.11	0.652116	-0.0165505
2.12	0.652751	-0.0161161
2.13	0.65252	-0.0160373
2.14	0.651794	-0.0160863
2.15	0.651541	-0.016096
2.16	0.651027	-0.0161616
2.17	0.650488	-0.0163765
2.18	0.650302	-0.0163318
2.19	0.650139	-0.0162894
2.2	0.649305	-0.0166968
2.21	0.649085	-0.0164167
2.22	0.648486	-0.0160585
2.23	0.648059	-0.016417
2.24	0.648066	-0.0168095
2.25	0.647294	-0.0165126
2.26	0.646791	-0.0163779
2.27	0.646419	-0.0166919
2.28	0.646441	-0.0163486
2.29	0.645666	-0.0166615
2.3	0.644815	-0.0167617
2.31	0.644997	-0.0166471
2.32	0.644684	-0.0165979
2.33	0.643951	-0.016679
2.34	0.642939	-0.0170926
2.35	0.643201	-0.0166597
2.36	0.642781	-0.0168705
2.37	0.642257	-0.0166468
2.38	0.64182	-0.0168504
2.39	0.641476	-0.0168458
2.4	0.640976	-0.0168738
2.41	0.640397	-0.017012
2.42	0.64016	-0.0170062
2.43	0.639483	-0.016852
2.44	0.639575	-0.0174033
2.45	0.638544	-0.0168493
2.46	0.63892	-0.0172832
2.47	0.637559	-0.0168818
2.48	0.637499	-0.0172486
2.49	0.636606	-0.0170345
2.5	0.637418	-0.0171457
2.51	0.635811	-0.016907
2.52	0.63568	-0.0174835
2.53	0.634833	-0.0172125
2.54	0.634928	-0.0169818
2.55	0.634698	-0.0174943
2.56	0.633942	-0.0173685
2.57	0.633788	-0.017333
2.58	0.632945	-0.0171795
2.59	0.632969	-0.0175534
2.6	0.632111	-0.0172514
2.61	0.632136	-0.0174998
2.62	0.631203	-0.0172315
2.63	0.631333	-0.0176379
2.64	0.630363	-0.0173117
2.65	0.630423	-0.0175854
2.66	0.629462	-0.0172797
2.67	0.629609	-0.0177193
2.68	0.62864	-0.0173621
2.69	0.628774	-0.0176963
2.7	0.627786	-0.0173499
2.71	0.627935	-0.0177808
2.72	0.626926	-0.0174111
2.73	0.627061	-0.0177933
2.74	0.626097	-0.0174334
2.75	0.626304	-0.0178271
2.76	0.62528	-0.0174474
2.77	0.625369	-0.0179008
2.78	0.624415	-0.0175165
2.79	0.62467	-0.0178608
2.8	0.623643	-0.0174879
2.81	0.623717	-0.0179964
2.82	0.622768	-0.0175933
2.83	0.623035	-0.0178937
2.84	0.622021	-0.0175363
2.85	0.622096	-0.018076
2.86	0.621154	-0.0176646
2.87	0.621412	-0.0179291
2.88	0.620423	-0.0175911
2.89	0.620372	-0.0181051
2.9	0.619961	-0.0177316
2.91	0.619158	-0.0177112
2.92	0.619522	-0.0183038
2.93	0.618483	-0.0178025
2.94	0.618403	-0.0179129
2.95	0.617613	-0.0176639
2.96	0.617506	-0.018055
2.97	0.617601	-0.0182119
2.98	0.61657	-0.017764
2.99	0.616432	-0.0181446
3	0.615688	-0.0178362
3.01	0.615886	-0.0181912
3.02	0.615111	-0.017928
3.03	0.614586	-0.0177992
3.04	0.614689	-0.0183344
3.05	0.614057	-0.0179993
3.06	0.613902	-0.0180565
3.07	0.613443	-0.0179769
3.08	0.612728	-0.017969
3.09	0.61279	-0.0183063
3.1	0.612088	-0.0179178
3.11	0.612334	-0.0184328
3.12	0.611448	-0.0180992
3.13	0.610761	-0.0178218
3.14	0.610757	-0.0179697
3.15	0.610678	-0.0182196
3.16	0.609707	-0.0183587
3.17	0.609719	-0.0182599
3.18	0.609871	-0.0180951
3.19	0.608538	-0.0183684
3.2	0.609	-0.018059
3.21	0.608455	-0.0183494
3.22	0.607569	-0.0179563
3.23	0.608042	-0.0180802
3.24	0.606774	-0.0187698
3.25	0.607149	-0.0184721
3.26	0.606947	-0.0179525
3.27	0.606537	-0.0180861
3.28	0.605905	-0.0183766
3.29	0.605358	-0.0181822
3.3	0.604955	-0.0184766
3.31	0.605153	-0.0184853
3.32	0.604398	-0.0180509
3.33	0.604224	-0.0184534
3.34	0.604151	-0.018416
3.35	0.603094	-0.0180448
3.36	0.603418	-0.0184075
3.37	0.602852	-0.0184693
3.38	0.60301	-0.018587
3.39	0.601739	-0.01804
3.4	0.602023	-0.0183135
3.41	0.6017	-0.0187063
3.42	0.60164	-0.0186894
3.43	0.600488	-0.0179794
3.44	0.600748	-0.0183644
3.45	0.600397	-0.018635
3.46	0.600285	-0.0186207
3.47	0.599646	-0.0182817
3.48	0.599096	-0.0186075
3.49	0.599038	-0.0186257
3.5	0.598303	-0.0179124
3.51	0.598687	-0.0183938
3.52	0.597914	-0.0191654
3.53	0.598223	-0.0185458
3.54	0.596956	-0.0178591
3.55	0.597417	-0.0184027
3.56	0.597216	-0.0189807
3.57	0.597046	-0.0187656
3.58	0.595993	-0.0181202
3.59	0.595919	-0.0182381
3.6	0.595797	-0.0183703
3.61	0.595084	-0.0191143
3.62	0.595146	-0.0187911
3.63	0.594859	-0.0179989
3.64	0.594751	-0.0181684
3.65	0.594337	-0.0188557
3.66	0.593668	-0.0182038
3.67	0.593999	-0.0186894
3.68	0.593664	-0.0186842
3.69	0.592639	-0.0184261
3.7	0.592663	-0.0184204
3.71	0.592591	-0.0183938
3.72	0.592863	-0.0183645
3.73	0.590792	-0.0189503
3.74	0.59137	-0.0187037
3.75	0.591647	-0.0184704
3.76	0.591643	-0.0184437
3.77	0.590441	-0.0179339
3.78	0.591003	-0.0189061
3.79	0.590178	-0.0180438
3.8	0.590176	-0.0183042
3.81	0.589365	-0.0191145
3.82	0.58983	-0.018451
3.83	0.588604	-0.0180152
3.84	0.589357	-0.0184707
3.85	0.588686	-0.0185894
3.86	0.588753	-0.0187006
3.87	0.587637	-0.0181769
3.88	0.587651	-0.0184568
3.89	0.587903	-0.0183758
3.9	0.587623	-0.0185334
3.91	0.586738	-0.0185655
3.92	0.586803	-0.0186886
3.93	0.586196	-0.0177027
3.94	0.586681	-0.0190266
3.95	0.585311	-0.0177683
3.96	0.585877	-0.0184421
3.97	0.585532	-0.0188391
3.98	0.585582	-0.0185165
3.99	0.584301	-0.0179527
4	0.585104	-0.0184574
4.01	0.583932	-0.0184511
4.02	0.58454	-0.0183252
4.03	0.583959	-0.0183477
4.04	0.584037	-0.0183324
4.05	0.582709	-0.0183642
4.06	0.58326	-0.0181888
4.07	0.582912	-0.0184464
4.08	0.582468	-0.0182863
4.09	0.582902	-0.0181412
4.1	0.582544	-0.0182751
4.11	0.580847	-0.0182528
4.12	0.58178	-0.0181309
4.13	0.582074	-0.0184227
4.14	0.581143	-0.0179874
4.15	0.581044	-0.0180337
4.16	0.580607	-0.0183191
4.17	0.58017	-0.0183891
4.18	0.58033	-0.0181538
4.19	0.579924	-0.01789
4.2	0.579976	-0.0179198
4.21	0.578587	-0.0187368
4.22	0.57977	-0.0178746
4.23	0.578794	-0.0179479
4.24	0.579027	-0.0180516
4.25	0.579096	-0.0181322
4.26	0.578267	-0.0180154
4.27	0.578163	-0.0180227
4.28	0.576624	-0.0176823
4.29	0.577651	-0.0179618
4.3	0.578078	-0.0181726
4.31	0.577176	-0.0180435
4.32	0.576218	-0.0174488
4.33	0.576784	-0.0178014
4.34	0.576717	-0.0180734
4.35	0.576486	-0.0180284
4.36	0.576271	-0.017944
4.37	0.574587	-0.0173788
4.38	0.575685	-0.0178621
4.39	0.5756	-0.0178456
4.4	0.575514	-0.0178803
4.41	0.573995	-0.0175784
4.42	0.574946	-0.0177604
4.43	0.574699	-0.0177071
4.44	0.573815	-0.0175838
4.45	0.573757	-0.0175578
4.46	0.573494	-0.0176235
4.47	0.573441	-0.0176132
4.48	0.573108	-0.0174786
4.49	0.573162	-0.0174835
